key,ko,eng
room.oxygen.level1,산소실 Lv.1,Oxygen Room Lv.1
room.oxygen.level2,산소실 Lv.2,Oxygen Room Lv.2
room.engine.level1,엔진실 Lv.1,Engine Room Lv.1
room.engine.level2,엔진실 Lv.2,Engine Room Lv.2
room.engine.level3,엔진실 Lv.3,Engine Room Lv.3
room.cockpit.level1,조종실 Lv.1,Cockpit Lv.1
room.cockpit.level2,조종실 Lv.2,Cockpit Lv.2
room.cockpit.level3,조종실 Lv.3,Cockpit Lv.3
room.medbay.level1,의무실 Lv.1,Medbay Lv.1
room.medbay.level2,의무실 Lv.2,Medbay Lv.2
room.power.level1,전력실 Lv.1,Power Room Lv.1
room.power.level2,전력실 Lv.2,Power Room Lv.2
room.power.level3,전력실 Lv.3,Power Room Lv.3
room.shield.level1,배리어실 Lv.1,Shield Room Lv.1
room.shield.level2,배리어실 Lv.2,Shield Room Lv.2
room.crewquarters.basic,생활관,Crew Quarters
room.crewquarters.big,큰 생활관,Large Crew Quarters
room.lifesupport.game,오락실,Arcade
room.lifesupport.sleep,수면실,Sleep Chamber
room.lifesupport.sauna,사우나,Sauna Room
room.lifesupport.theater,영화관,Theater
room.teleport.level1,위치전환기,Teleporter
room.weaponcontrol.level1,조준석 Lv.1,Weapons Control Lv.1
room.weaponcontrol.level2,조준석 Lv.2,Weapons Control Lv.2
room.ammunition.level1,탄약고 Lv.1,Ammunition Storage Lv.1
room.ammunition.level2,탄약고 Lv.2,Ammunition Storage Lv.2
room.storage.regular.small,일반 창고(소),General Storage(Small)
room.storage.regular.medium,일반 창고(중),General Storage(Medium)
room.storage.regular.big,일반 창고(대),General Storage(Large)
room.storage.animal.small,철창(소),Livestock Bay(Small)
room.storage.animal.medium,철창(중),Livestock Bay(Medium)
room.storage.animal.big,철창(대),Livestock Bay(Large)
room.storage.temperature.small,온도 조절 창고(소),Temperature-Controlled Storage(Small)
room.storage.temperature.medium,온도 조절 창고(중),Temperature-Controlled Storage(Medium)
room.storage.temperature.big,온도 조절 창고(대),Temperature-Controlled Storage(Large)
shipvalidation.error.noroom,방이 없습니다.,No rooms have been placed on the ship layout.
shipvalidation.error.nocockpit,조종실이 없습니다.,The ship needs a cockpit.
shipvalidation.error.noengineroom,엔진실이 없습니다.,The ship is missing an engine room.
shipvalidation.error.nopowerroom,전력실이 없습니다.,The ship is missing a power room.
shipvalidation.error.noteleportroom,텔레포트실이 없습니다.,The ship is missing a teleport room.
shipvalidation.error.nocrewquartersroom,생활 시설이 없습니다.,The ship needs a crew quarters room.
shipvalidation.error.none,함선 배치가 유효합니다.,The ship layout is valid and has passed all checks.
shipvalidation.error.unconnecteddoor,방의 문이 다른 방 또는 복도와 연결되어 있지 않습니다.,A room has a door that does not connect to any other room or hallway.
shipvalidation.error.isolatedroom,고립된 방이 있습니다.,One or more rooms are completely isolated and inaccessible from the rest of the ship.
shipvalidation.error.weaponplacement,무기의 위치가 올바르지 않습니다.,A weapon isn’t valid.
shipvalidation.error.weaponnotattachedtoroom,무기가 방에 달려있지 않습니다.,Weapons are not attached to any room.
shipvalidation.error.weaponfrontobject,무기의 앞쪽에 방이나 무기가 있습니다.,There is a room or weapon in front of the weapon.
shipvalidation.error.invalidweaponattachment,무기가 달린 방향이 올바르지 않습니다.,The weapon's attachment direction is incorrect.
outerhull.level1,외갑판 Lv.1,Outer Hull Lv.1
outerhull.level2,외갑판 Lv.2,Outer Hull Lv.2
outerhull.level3,외갑판 Lv.3,Outer Hull Lv.3
door.level1,일반 문,Door
door.level2,자동 문,Automatic Door
item.name.0,소금,Salt
item.name.1,날카로운 이빨,Sharp Tooth
item.name.2,단단한 비늘,Hard Scale
item.name.3,진주,Pearl
item.name.4,관상용 산호,Ornamental Coral
item.name.5,삼중수소,Tritium
item.name.6,쪽빛 단괴,Azure Chunk
item.name.7,마법의 소라고둥,Magical Conch Shell
item.name.8,자색 고사리,Purple Fern
item.name.9,독성 고사리,Toxic Fern
item.name.10,단단한 씨앗,Hard Seed
item.name.11,가벼운 씨앗,Light Seed
item.name.12,알 수 없는 씨앗,Unknown Seed
item.name.13,수상한 육포,Suspicious Jerky
item.name.14,폭발형 씨앗,Explosive Seed
item.name.15,알 껍질,Eggshell
item.name.16,굼벵이,Giant Worm
item.name.17,단단한 얼음조각,Hard Ice Shard
item.name.18,얼어붙은 수액,Frozen Sap
item.name.19,따뜻한 모피,Warm Fur
item.name.20,거대한 육포,Giant Jerky
item.name.21,얼음 조각상,Ice Statue
item.name.22,차가운 금속,Cold Metal
item.name.23,목재,Lumber
item.name.24,소금,Salt
item.name.25,곡물,Grain
item.name.26,생고기,Raw Meat
item.name.27,금,Gold
item.name.28,광학 렌즈,Optical Lens
item.name.29,원자로,Reactor
item.name.30,소,Cow
item.name.31,램프,Lamp
item.name.32,바늘,Needle
item.name.33,불길한 서적,Ominous Book
item.name.34,천,Cloth
item.name.35,눈동자,Eye
item.name.36,이빨,Tooth
item.description.0,생물에게 필수적인 영양분을 공급합니다.,Provides essential nutrients to living organisms.
item.description.1,날카로움을 유지하고 있는 무언가의 이빨입니다.,A tooth of something that retains its sharpness.
item.description.2,투박하지만 단단함을 유지하고 있는 무언가의 비늘입니다.,"A scale of something that, though rough, remains hard."
item.description.3,바다에서 만들어지는 영롱한 빛의 보석입니다.,A lustrous gem produced in the sea.
item.description.4,수조 속에 설치하여 아름다운 바다의 풍경을 연출합니다.,A decorative coral used to create a beautiful marine landscape in aquariums.
item.description.5,에너지 생산에 중요한 물질입니다.,A substance vital for energy production.
item.description.6,바다로 뒤덮인 행성에서 발견되는 푸른 빛의 광물 덩어리입니다.,A blue mineral chunk discovered on an ocean-covered planet.
item.description.7,알 수 없는 힘을 가진 소라고둥입니다.,A conch shell possessing an unknown power.
item.description.8,먹을 수는 있지만 불길한 색을 띈 고사리입니다.,An edible fern with an eerie hue.
item.description.9,강한 독성을 띈 고사리입니다.,A fern with potent toxicity.
item.description.10,단단한 껍질을 부수면 고소한 맛과 향을 내는 매력적인 식량입니다.,An attractive food that reveals a savory flavor and aroma when its hard shell is broken.
item.description.11,바람에 날아갈 듯 매우 가벼운 씨앗입니다. 그들만의 비밀 레시피가 필요합니다.,A very light seed that seems like it could be blown away by the wind; it requires its own secret recipe.
item.description.12,무엇이 자랄지 전혀 알 수 없는 씨앗 무더기입니다.,A bundle of seeds with entirely uncertain growth potential.
item.description.13,영양은 풍부하지만 무엇을 재료로 한 것인지 알 수 없는 수상한 육포입니다.,"A suspicious jerky that is nutritionally rich, yet its ingredients remain a mystery."
item.description.14,충격을 받으면 커다란 소리와 함께 폭발하는 씨앗입니다.,A seed that explodes with a loud noise when shocked.
item.description.15,원주민들이 태어나고 남은 알 껍질입니다. 풍부한 칼슘을 함유하고 있어 비료로 사용하기 적합합니다.,"An eggshell left over from native births, rich in calcium and ideal for use as fertilizer."
item.description.16,단순히 굼벵이로 지칭해도 될지 의문이 드는 거대한 벌레입니다. 미동도 없이 기묘한 소리를 냅니다.,A giant creature that challenges being simply called an earthworm; it emits strange sounds without moving.
item.description.17,행성 지하에 두껍게 깔린 얼음을 부숴 꺼낸 조각입니다.,A chunk of ice extracted from thick layers beneath the planet's surface.
item.description.18,마을 주변에 드물게 자라나는 나무의 수액이 얼어붙어 만들어집니다. 달달하고 시원한 맛이 일품입니다.,"Frozen sap from trees that rarely grow near villages, boasting an exquisitely sweet and refreshing taste."
item.description.19,두꺼운 털과 가죽으로 된 모피입니다. 설인들과 털 색이 동일합니다.,"A fur made of thick hair and leather, matching the color of the snowmen."
item.description.20,설인들이 남은 고기를 방치해서 만들어진 이 육포는 의외의 감칠맛을 제공합니다.,"Jerky created from leftover meat discarded by the snowmen, delivering an unexpectedly savory flavor."
item.description.21,설인들이 투박한 손으로 깎아낸 조각상입니다. 보기와 다른 섬세한 손길이 느껴집니다.,"An ice statue roughly carved by the snowmen, yet reflecting unexpectedly delicate craftsmanship."
item.description.22,이 행성에서만 드물게 발견되는 검은색 광물로 차가운 냉기를 끈임없이 뿜어냅니다.,A rare black mineral on this planet that continuously radiates a chilling cold.
item.description.23,다양한 기후를 견디고 자란 나무를 가공한 소재입니다.,A material derived from trees that thrive in diverse climates.
item.description.24,생물에게 필수적인 영양분을 공급합니다.,Provides essential nutrients to living organisms.
item.description.25,"다양한 식감과 향, 영양분을 가진 식량입니다.","A food with diverse textures, flavors, and nutritional value."
item.description.26,우리가 아는 맛있는 여러 고기를 섞은 덩어리입니다.,A lump of assorted delicious meats.
item.description.27,반짝이는 이 금속은 다양한 산업과 사치품에 사용됩니다.,This glittering metal is utilized in various industries and luxury items.
item.description.28,정교하게 세공된 이 유리 렌즈는 다양한 산업에 사용됩니다.,A finely crafted glass lens used in multiple industries.
item.description.29,비교적 작은 공간에서 거대한 에너지를 생산해낼 수 있는 시설입니다.,A reactor capable of generating massive amounts of energy in a compact area.
item.description.30,맛있습니다.,It is delicious.
item.description.31,낣은 외양의 램프입니다. 내부에서 새어나오는 불빛에 어째선지 불길함이 느껴집니다.,"A lamp with a shabby appearance; the light emanating from within gives off an eerie, ominous vibe."
item.description.32,알 수 없는 소재로 만들어진 이 바늘은 그들만의 제사에서 중요한 역할을 담당합니다.,"A needle made from an unknown material, playing a vital role in their exclusive rituals."
item.description.33,알 수 없는 문자가 나열된 서적입니다. 어디선가 불길한 목소리가 들려오는 것 같습니다.,A book inscribed with mysterious characters; an ominous whisper seems to emanate from it.
item.description.34,부드럽고 탄력적인 매력적인 천입니다. 원료가 무엇인지 파악할 수 없습니다.,A charming fabric that is soft and resilient; its source material remains unknown.
item.description.35,영롱한 세로 동공을 가진 파충류의 눈을 연상시키는 무늬가 포함된 수정입니다. 방금 눈을 마주친 것 같습니다.,"A crystal adorned with a pattern reminiscent of a reptile's eye, complete with gleaming vertical pupils, as if it has just met your gaze."
item.description.36,"출처를 알 수 없는, 날카롭고 거대한 이빨입니다. 미지의 공포가 당신에게 손을 내밉니다.","A massive, sharp tooth of unknown origin; it exudes an aura of unfathomable terror."
crew.race.human,인간형,Human
crew.race.amorphous,부정형,Amorphous
crew.race.mechanictank,기계 돌격형,Mechanic Tank
crew.race.mechanicsup,기계 지원형,Mechanic Sup
crew.race.beast,짐승형,Beast
crew.race.insect,곤충형,Insect
crew.race.mechanic,기계형,Mechanic
crew.skilltype.pilot,조종실 숙련도,Pilot Skill
crew.skilltype.engine,엔진실 숙련도,Engine Skill
crew.skilltype.power,전력실 숙련도,Power Skill
crew.skilltype.shield,배리어실 숙련도,Shield Skill
crew.skilltype.weapon,조준석 숙련도,Weapon Skill
crew.skilltype.ammunition,탄약고 숙련도,Ammunition Skill
crew.skilltype.medbay,의무실 숙련도,MedBay Skill
crew.skilltype.repair,수리 숙련도,Repair Skill
crew.skilltype.repairshort,수리,Repair
equipment.weapon.0,텅스텐 진압봉,Tungsten Baton
equipment.weapon.1,레이저 진압봉,Laser Baton
equipment.weapon.2,고전압 진압봉,High Voltage Baton
equipment.weapon.3,자동 추적 작살,Auto Tracking Harpoon
equipment.weapon.4,큰 발톱,Big Claw
equipment.weapon.5,BF 건,BF Gun
equipment.weapon.6,해적 Lv.1,PirateLv1
equipment.weapon.7,해적 Lv.2,PirateLv2
equipment.weapon.8,해적 Lv.3,PirateLv3
equipment.weapon.9,해적 Lv.4,PirateLv4
equipment.weapon.10,해적 Lv.5,PirateLv5
equipment.shield.0,탄소 섬유 선원복,Carbon Fiber Suit
equipment.shield.1,고밀도 생물 압축 선원복,High Density Bio Suit
equipment.shield.2,고밀도 압축 금속 선원복,High Density Metal Suit
equipment.shield.3,행동 보조 생물,Behaviour Assistant Creature
equipment.shield.4,고밀도 냉각 액체,High Density Cooling Liquid
equipment.shield.5,해적 공용 방어구,Pirate Public Shield
equipment.assistant.0,착용하지 않음,Empty
equipment.assistant.1,휴대용 전원 연결 장치,Portable Power Connection Device
equipment.assistant.2,만능 수리 키트,Universal Repair Kit
equipment.assistant.3,응급 의료 키트,Emergency Medical Kit
equipment.assistant.4,은하 나침반,Galaxy Compass
equipment.assistant.5,자동 조준 장치,Automatic Aiming Device
equipment.assistant.6,뇌 보조 칩,Brain Assistant Chip
equipment.assistant.7,해적 공용 보조 장치,Pirate Public Assistant
equipment.weapon.description.0,묵직한 막대기는 긴 역사상 훌륭한 무기로서 사용되어 왔습니다.,A heavy stick has long served as a reliable weapon throughout history.
equipment.weapon.description.1,"밝게 빛나는, 크고 단단한 막대기입니다.","A brightly glowing, large and solid stick."
equipment.weapon.description.2,위협적인 전류가 흐르는 진압봉입니다.,A riot baton crackling with menacing electricity.
equipment.weapon.description.3,바다로 뒤덮인 행성에서 드물게 발견되는 유물입니다.그들조차 어떻게 만들었는지 모릅니다.,A relic rarely found on ocean-covered planets. Even its creators don’t know how it was made.
equipment.weapon.description.4,높은 산에 서식하는 거대한 조류의 발톱을 가공하여 만든 단검입니다.,A dagger crafted from the talon of a giant bird living in high mountains.
equipment.weapon.description.5,인간형 종족이 만든 진화의 산물입니다.,"A product of evolution, crafted by humanoid species."
equipment.weapon.description.6,해적 Lv.1 전용 무기,Weapon exclusively for Pirate Lv.1.
equipment.weapon.description.7,해적 Lv.2 전용 무기,Weapon exclusively for Pirate Lv.2.
equipment.weapon.description.8,해적 Lv.3 전용 무기,Weapon exclusively for Pirate Lv.3.
equipment.weapon.description.9,해적 Lv.4 전용 무기,Weapon exclusively for Pirate Lv.4.
equipment.weapon.description.10,해적 Lv.5 전용 무기,Weapon exclusively for Pirate Lv.5.
equipment.shield.description.0,충격을 분산시켜줍니다. 충분할지는 모르겠습니다.,Disperses impact. Whether it's enough is uncertain.
equipment.shield.description.1,어떤 생물체의 가죽을 강하게 압축시켜 만든 선원복입니다. 강렬한 누린내가 뇌를 강타합니다.,A crew suit made by compressing the hide of an unknown creature. The intense stench hits you like a brick.
equipment.shield.description.2,여러 행성의 금속을 섞어 만든 합금을 강하게 압축시켜 만든 선원복입니다. 잘 접으면 무기로도 쓸 수 있을 것 같습니다.,"A crew suit made from a compressed alloy of metals from various planets. If folded well, it might serve as a weapon."
equipment.shield.description.3,"다른 생물에 기생하여 살아가는, 부정형 종족 행성 출신의 저지능 생물체입니다. 가끔 착용자의 몸을 간지럼 태웁니다.",A low-intelligence organism from an amorphous species' planet that lives by parasitizing others. Occasionally tickles the wearer's body.
equipment.shield.description.4,"고밀도로 압축된 액체가 끊임없이 순환하며 충격을 흡수하는 특수복입니다. 장시간 착용 시, 동상에 주의하세요.",A special suit where highly compressed liquid circulates constantly to absorb shocks. Beware of frostbite if worn for extended periods.
equipment.shield.description.5,해적 공용 방어구,Standard pirate armor.
equipment.assistant.description.0,아무 것도 착용하지 않은 상태,Nothing is equipped.
equipment.assistant.description.1,함선이 지금보다 잦은 고장이 발생하던 시절에 수리공이 휴대하던 수리키트의 일부입니다.,A part of a repair kit once carried by mechanics during times when ships broke down more frequently.
equipment.assistant.description.2,"무엇이든 고칠 수 있는 수리키트입니다! (단, 생물은 수리가 불가능합니다)",A repair kit that can fix almost anything! (Except living organisms.)
equipment.assistant.description.3,빠르게 생물의 신체를 복구시킵니다.,Quickly restores the body of living organisms.
equipment.assistant.description.4,은하의 방향을 알려주는 나침반입니다.,A compass that points the way through the galaxy.
equipment.assistant.description.5,함선 무기의 조준을 자동으로 도와주는 친절한 장치입니다.,A friendly device that assists in automatically aiming ship weapons.
